policy,sigma,noise_signal_ratio,alpha,lambda,n_trials,theory_gen_error_normalized,theory_acc_error_normalized,theory_r2_gen,theory_r2_acc,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_gen,mc_r2_gen_se,mc_r2_acc,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75
cv,0.0,0.0,0.0001,1.0000000000000001e-07,100,0.0002663697842440502,8.22565450647826e-14,0.9997336302364344,0.9999999999999177,0.00027704403936354937,2.4776643344668393e-06,1.6775671045226214e-10,2.221233883136673e-11,0.9997229559606363,2.4776643344669604e-06,0.9999999998323584,2.2171766518346703e-11,0.9999999999135287,0.9999999997827701,0.9999999999806696,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,
fixed,0.0,0.0,100.0,0.1,100,0.0018179012201894257,0.00827645187098841,0.9981820989209351,0.9930463222575724,0.001983160843912738,1.547784249794028e-05,0.008461951287009842,6.134591684348984e-05,0.9980168391560872,1.5477842497940032e-05,0.9929057999384685,4.70995181537131e-05,0.9929020783350566,0.9925957835158912,0.9932241024256013,,,,0.9980347529873115,0.9979130192879566,0.9981146456023802
cv,0.01,1.4752955705691213e-08,0.0001,1.0000000000000001e-07,100,0.00026638272182536935,1.44421776517241e-10,0.999733617298854,0.9999999998555745,0.00027198632960258047,2.904513981378099e-06,8.519928123417713e-10,9.856802006859798e-11,0.9997280136703973,2.9045139813779297e-06,0.999999999148975,9.860084914147794e-11,0.9999999995598974,0.9999999988420959,0.9999999998589219,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,
fixed,0.01,1.4752955705691213e-08,100.0,0.1,100,0.0018179039168547278,0.008276384461365919,0.99818209622427,0.9930463741838499,0.0019346356454182203,1.4749617073562858e-05,0.008298648505457858,5.639037872499752e-05,0.9980653643545818,1.4749617073562873e-05,0.9930310520676073,4.33659244614432e-05,0.9930240440364254,0.9927402441286954,0.9933248078246242,,,,0.9980691994511053,0.9979564964809622,0.9981705779741883
cv,0.03,1.327766013512209e-07,0.0001,1.0000000000000001e-07,100,0.00026648622247592215,3.1364396872251325e-09,0.9997335137982115,0.9999999968630792,0.00028105722780720184,2.8712541075382797e-06,7.768633020210458e-09,9.614727672323533e-10,0.9997189427721929,2.871254107537871e-06,0.9999999922316618,9.613262357282896e-10,0.9999999955100873,0.9999999891772526,0.9999999993940509,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,
fixed,0.03,1.327766013512209e-07,100.0,0.1,100,0.0018179254901771417,0.008275845195937593,0.9981820746509493,0.993046789587074,0.001982282319481235,1.6983899762601793e-05,0.008410231429425633,5.982833226511883e-05,0.9980177176805188,1.698389976260171e-05,0.9929454124928434,4.5835598369840734e-05,0.9929967189789664,0.9927525654327694,0.9932546553859849,,,,0.9980274257246219,0.9979366832624061,0.9981124860373571
cv,0.1,1.4752955705691215e-06,0.0001,1.0000000000000001e-07,100,0.0002676635423759607,2.6683090870411406e-07,0.9997323364784029,0.9999997328749818,0.0002754142466252096,2.668867782100801e-06,4.3571329859275e-07,3.142185772833223e-08,0.999724585753375,2.6688677821009195e-06,0.9999995635953183,3.149075896959528e-08,0.9999996139115301,0.9999993924897527,0.9999998077552786,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,
fixed,0.1,1.4752955705691215e-06,100.0,0.1,100,0.0018181708867196014,0.008269712496965398,0.9981818292544259,0.993051513923493,0.0019517942869858868,1.4923720392552998e-05,0.008372633556533553,6.017166155371844e-05,0.9980482057130142,1.4923720392552914e-05,0.9929743696795548,4.624348644464598e-05,0.992997028887411,0.9926578614806931,0.9932926849373295,,,,0.9980535671647848,0.9979445460460084,0.9981606052206031
cv,0.3,1.327766013512209e-05,0.0001,1.0000000000000001e-07,100,0.0002780136074312442,2.0591961945550592e-05,0.9997219864141511,0.9999792183580055,0.0002858718847628927,2.556872713378803e-06,2.7833201628596997e-05,7.933612410189288e-07,0.9997141281152372,2.55687271337868e-06,0.9999718619848346,8.064662050000053e-07,0.9999732296287897,0.9999669929015196,0.9999775741387147,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,,,
fixed,0.3,1.327766013512209e-05,100.0,0.1,100,0.001820328218961003,0.008215912946414676,0.998179671922352,0.9930929773002031,0.0019307255808913278,1.521323595543739e-05,0.008196960156627929,5.900375883037845e-05,0.9980692744191088,1.5213235955437468e-05,0.9931095979764801,4.550933120502696e-05,0.9931269670388827,0.9927658284360058,0.9934095738051913,,,,0.9980676998518545,0.9979705162953483,0.998166262502216
